uID,RN,Amount Removed (1/16),Reason,Axle Position,Side,WT Start Rim,ES Start Rim,Start Difference,WT Removed,Flange Condition Bool,CDSS,CDFIM,CDSWC
GoldenBC 2015-09-06 06:52:00 L,9359,4.433933858267714,High Flange,4,L,1.7500000000000002,1.75,2.220446049250313e-16,7.03887,TRUE,1178.81421,1073.31812,1040.02222
GoldenBC 2015-09-06 06:52:00 L,9359,4.433933858267714,High Flange,4,L,1.7500000000000002,1.75,2.220446049250313e-16,7.03887,TRUE,1178.81421,1073.31812,1040.02222
GoldenBC 2015-09-06 06:52:00 R,9359,3.4419338582677135,High Flange,4,R,1.7500000000000002,1.688,0.06200000000000028,7.03887,TRUE,1178.81421,1073.31812,1040.02222
GoldenBC 2015-09-06 06:52:00 R,9359,3.4419338582677135,High Flange,4,R,1.7500000000000002,1.688,0.06200000000000028,7.03887,TRUE,1178.81421,1073.31812,1040.02222
GoldenBC 2015-09-06 06:52:00 R,9359,3.4419338582677135,High Flange,4,R,1.7500000000000002,1.688,0.06200000000000028,7.03887,TRUE,1178.81421,1073.31812,1040.02222
GoldenBC 2015-09-15 09:59:00 L,8778,6.818374803149606,High Flange,2,L,1.5000000000000002,1.5,2.220446049250313e-16,10.82417,TRUE,1165.45166,1043.86768,1019.75165
GoldenBC 2015-09-15 09:59:00 R,8778,6.818374803149606,High Flange,2,R,1.5000000000000002,1.5,2.220446049250313e-16,10.82417,TRUE,1165.45166,1043.86768,1019.75165
GoldenBC 2015-09-16 07:28:00 L,8778,2.866349606299213,High Flange,3,L,1.3125,1.313,-0.0004999999999999449,4.53763,TRUE,1030.78772,1028.62366,1022.79968
GoldenBC 2015-09-16 07:28:00 R,8778,7.858349606299214,High Flange,3,R,1.3125,1.625,-0.3125,4.53763,TRUE,1030.78772,1028.62366,1022.79968
GoldenBC 2015-09-26 09:09:00 L,9780,-6.713618897637794,None,2,L,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
GoldenBC 2015-09-26 09:09:00 L,9780,-6.713618897637794,None,2,L,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
GoldenBC 2015-09-26 09:09:00 L,9780,-6.713618897637794,None,2,L,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
GoldenBC 2015-09-26 09:09:00 L,9780,-6.713618897637794,None,2,L,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
GoldenBC 2015-09-26 09:09:00 L,9780,-6.713618897637794,None,2,L,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
GoldenBC 2015-09-26 09:09:00 R,9780,-6.713618897637794,None,2,R,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
GoldenBC 2015-09-26 09:09:00 R,9780,-6.713618897637794,None,2,R,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
GoldenBC 2015-09-26 09:09:00 R,9780,-6.713618897637794,None,2,R,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
